,Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Código IBGE da Mesoregião,Nome da Mesoregião,Código IBGE da Microregião,Nome da Microregião,Área da unidade territorial,Estabelecimentos de Saúde SUS,Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010),Matrícula - Ensino fundamental - 2012,Matrícula - Ensino médio - 2012,Número de unidades locais,Pessoal ocupado total,PIB per capita a preços correntes,População residente,População residente - Homens,População residente - Mulheres,População residente alfabetizada,População residente que frequentava creche ou escola,"População residente, religião católica apostólica romana","População residente, religião espírita","População residente, religião evangélicas",Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural,Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana,"Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural","Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana"
92,230680,23,CE,Nordeste,2305,Jaguaribe,23024,MÚdio Jaguaribe,668.738,5,0.618,1736,491,166,975,5574.48,10399,5277,5122,7199,3300,9054,9,927,196.67,255.5,750.75,1187.97
93,230690,23,CE,Nordeste,2305,Jaguaribe,23024,MÚdio Jaguaribe,1876.806,11,0.621,5960,1387,768,3060,6503.05,34409,16829,17580,23950,10815,28822,141,3911,170,255.0,775.28,1136.51
94,230700,23,CE,Nordeste,2305,Jaguaribe,23023,Baixo Jaguaribe,867.562,34,0.624,4323,1432,552,3961,7384.47,32236,16076,16160,22169,9886,28820,68,2017,170,271.14,722.2,1126.44
95,230710,23,CE,Nordeste,2307,Sul Cearense,23032,Cariri,552.424,18,0.614,5083,1555,233,2409,3849.09,26688,13067,13621,18214,9448,25342,61,946,166.67,255.0,822.43,1242.98
96,230720,23,CE,Nordeste,2307,Sul Cearense,23033,Brejo Santo,361.072,11,0.651,1113,361,87,622,3926.72,7660,3830,3830,5251,2446,6297,3,1075,152.75,250.0,766.42,1038.13
97,230725,23,CE,Nordeste,2301,Noroeste Cearense,23001,Litoral de Camocim e Acara·,204.793,10,0.652,2765,980,508,2285,4648.83,17002,8520,8482,12247,5556,14308,73,1522,220,300.0,1172.8,1571.82
98,230730,23,CE,Nordeste,2307,Sul Cearense,23032,Cariri,248.832,94,0.694,40274,11673,5878,47241,7841.88,249939,118353,131586,191788,85957,218944,2284,20994,166.6,300.0,848.49,1627.33
99,230740,23,CE,Nordeste,2306,Centro-Sul Cearense,23027,Vßrzea Alegre,937.189,9,0.598,3725,1119,251,1778,4241.44,23807,11766,12041,15530,6983,21026,48,1855,170,212.67,725.49,875.72
100,230750,23,CE,Nordeste,2306,Centro-Sul Cearense,23028,Lavras da Mangabeira,947.968,13,0.613,4973,1159,421,2162,3890.22,31090,15568,15522,20901,9761,27929,56,2114,127.5,226.4,733.57,1158.38
101,230760,23,CE,Nordeste,2305,Jaguaribe,23023,Baixo Jaguaribe,751.072,48,0.682,8431,2378,1209,7097,7145.92,56264,27577,28687,42364,17133,48556,343,4995,250,363.33,965.53,1629.21
102,230763,23,CE,Nordeste,2304,Sert§es Cearenses,23019,SertÒo de Quixeramobim,1034.722,16,0.61,3272,863,316,1564,4257.52,18088,9083,9005,12497,6606,15551,5,2187,116.67,232.0,657.47,1059.42
103,230765,23,CE,Nordeste,2303,Metropolitana de Fortaleza,23016,Fortaleza,106.648,38,0.686,38088,12006,3671,57186,19548.87,209057,102078,106979,171762,66929,135120,1048,50850,230,300.0,950.12,1336.66
104,230770,23,CE,Nordeste,2303,Metropolitana de Fortaleza,23016,Fortaleza,590.873,39,0.659,14926,5304,1355,15177,6670.5,113561,56619,56942,88351,35179,87121,469,20078,170,262.5,863.58,1323.35
105,230780,23,CE,Nordeste,2301,Noroeste Cearense,23001,Litoral de Camocim e Acara·,574.138,9,0.612,5701,1528,420,2997,5527.44,24703,12599,12104,15739,8432,23335,.,1167,155.43,245.0,926.25,1234.51
